自制,#genre#
大胡子魏,http://allinone.netsite.cc/douyu/8792763
童年回忆,http://allinone.netsite.cc/douyu/8915074
悬疑犯罪,http://allinone.netsite.cc/douyu/9171887
看经典,http://allinone.netsite.cc/douyu/7314294
不一样的电影,http://allinone.netsite.cc/douyu/2632223
看美剧,http://allinone.netsite.cc/douyu/8869614
动漫直播,http://allinone.netsite.cc/douyu/1487654
刘德华电影2,http://allinone.netsite.cc/douyu/8985415
林林影院,http://allinone.netsite.cc/douyu/9652323
漫威电影,http://allinone.netsite.cc/douyu/4282654
高帧影片,http://allinone.netsite.cc/douyu/6763930
米娅电影,http://allinone.netsite.cc/douyu/6537888
【RM-点播】点播!模式-24H欢乐不断,http://allinone.netsite.cc/douyu/131977
【RM-轮播】轮播!模式-24H欢乐不断,http://allinone.netsite.cc/douyu/7298973
大星与海绵方块,http://allinone.netsite.cc/douyu/3949681
美味!蟹黄堡,http://allinone.netsite.cc/douyu/8762358
海绵与大星直播间,http://allinone.netsite.cc/douyu/2250349
【猫和老鼠】汤姆和杰瑞童年回忆,http://allinone.netsite.cc/douyu/7888428
【柯南】外表看似小孩智慧却过于常人,http://allinone.netsite.cc/douyu/6484910
江户川柯南是一个蒸蛋。,http://allinone.netsite.cc/douyu/5377297
【三笠】根本不存在解不开的迷!,http://allinone.netsite.cc/douyu/7050342
【超级赛亚人】悟吉塔,http://allinone.netsite.cc/douyu/7190773
【童年往事】仨房间画面同步显示点播,http://allinone.netsite.cc/douyu/7256376
妖精的直播间,http://allinone.netsite.cc/douyu/5960746
【天使点播】动漫直播间,http://allinone.netsite.cc/douyu/1487654
【动漫】超燃怀旧经典,http://allinone.netsite.cc/douyu/1174353
【动漫】记录你的王者峡谷生活~,http://allinone.netsite.cc/douyu/9360149
【小叮当】童年经典动画片,http://allinone.netsite.cc/douyu/9445279
动漫推荐官方直播间,http://allinone.netsite.cc/douyu/5187099
【经典动漫】9455567,http://allinone.netsite.cc/douyu/9455567
【神剧】经典神剧,http://allinone.netsite.cc/douyu/3700024
【西游】由爱故生怨怨恨交缠那又何苦,http://allinone.netsite.cc/douyu/9518204
斗鱼电影7,http://allinone.netsite.cc/douyu/3637726
斗鱼电影10,http://allinone.netsite.cc/douyu/2935323
斗鱼电影18,http://allinone.netsite.cc/douyu/4246519
斗鱼电影22,http://allinone.netsite.cc/douyu/1979257
斗鱼电影23,http://allinone.netsite.cc/douyu/7494871
斗鱼电影35,http://allinone.netsite.cc/douyu/248753
斗鱼电影71,http://allinone.netsite.cc/douyu/2987100
斗鱼电影77,http://allinone.netsite.cc/douyu/2758565
斗鱼电影95,http://allinone.netsite.cc/douyu/4549169
斗鱼电影97,http://allinone.netsite.cc/douyu/8867878
斗鱼电影111,http://allinone.netsite.cc/douyu/8475821
斗鱼电影117,http://allinone.netsite.cc/douyu/338759
斗鱼电影125,http://allinone.netsite.cc/douyu/5067952
斗鱼电影129,http://allinone.netsite.cc/douyu/413573
斗鱼电影135,http://allinone.netsite.cc/douyu/7476264
斗鱼电影141,http://allinone.netsite.cc/douyu/7623292
斗鱼电影145,http://allinone.netsite.cc/douyu/5033502
斗鱼电影153,http://allinone.netsite.cc/douyu/8799435
斗鱼电影155,http://allinone.netsite.cc/douyu/4258555
斗鱼电影165,http://allinone.netsite.cc/douyu/8705754
斗鱼电影169,http://allinone.netsite.cc/douyu/7528160
斗鱼电影90,http://allinone.netsite.cc/douyu/6785471
斗鱼电影113,http://allinone.netsite.cc/douyu/5522351
斗鱼电影114,http://allinone.netsite.cc/douyu/562225
斗鱼电影115,http://allinone.netsite.cc/douyu/223521
斗鱼电影118,http://allinone.netsite.cc/douyu/4631599
斗鱼电影122,http://allinone.netsite.cc/douyu/3485629
斗鱼电影130,http://allinone.netsite.cc/douyu/8014467
斗鱼电影137,http://allinone.netsite.cc/douyu/1274132
斗鱼电影143,http://allinone.netsite.cc/douyu/7314294
斗鱼电影149,http://allinone.netsite.cc/douyu/6582435
斗鱼电影150,http://allinone.netsite.cc/douyu/3980787
斗鱼电影158,http://allinone.netsite.cc/douyu/8788687
斗鱼电影159,http://allinone.netsite.cc/douyu/11342386

虎牙轮播,#genre#
虎牙-周星星,http://allinone.netsite.cc/huya/24470631
虎牙-成龙,http://allinone.netsite.cc/huya/11342386
虎牙-李连杰,http://allinone.netsite.cc/huya/11342390
虎牙-刘德华,http://allinone.netsite.cc/huya/11342424
虎牙-王晶,http://allinone.netsite.cc/huya/11602058
虎牙-杰森·斯坦森,http://allinone.netsite.cc/huya/21059588
虎牙-甄子丹,http://allinone.netsite.cc/huya/11352935
虎牙-巨石强森,http://allinone.netsite.cc/huya/21059581
虎牙-洪金宝,http://allinone.netsite.cc/huya/11279251
虎牙-周润发,http://allinone.netsite.cc/huya/11342387
虎牙-徐峥,http://allinone.netsite.cc/huya/11602043
虎牙-许氏三杰,http://allinone.netsite.cc/huya/11602033
虎牙-黄渤,http://allinone.netsite.cc/huya/11352876
虎牙-张卫健,http://allinone.netsite.cc/huya/11342423
虎牙-港台电影,http://allinone.netsite.cc/huya/880261
虎牙-红海行动,http://allinone.netsite.cc/huya/11601986
虎牙-金庸电影,http://allinone.netsite.cc/huya/11352897
虎牙-经典高智商,http://allinone.netsite.cc/huya/11352962
虎牙-经典好片,http://allinone.netsite.cc/huya/11342427
虎牙-警匪,http://allinone.netsite.cc/huya/11352886
虎牙-欧美电影,http://allinone.netsite.cc/huya/21059581
虎牙-欧美娱乐,http://allinone.netsite.cc/huya/21059574
港台电影,http://allinone.netsite.cc/huya/880261
未知,http://allinone.netsite.cc/huya/11601986
金庸电影,http://allinone.netsite.cc/huya/11352897
经典电影,http://allinone.netsite.cc/huya/11352962
经典好片,http://allinone.netsite.cc/huya/11342427
警匪,http://allinone.netsite.cc/huya/11352886
欧美电影,http://allinone.netsite.cc/huya/21059581
电影24,http://allinone.netsite.cc/huya/21059579
虎牙-神话,http://allinone.netsite.cc/huya/11352913
虎牙-生活大爆炸,http://allinone.netsite.cc/huya/11342417
虎牙-孙悟空,http://allinone.netsite.cc/huya/11342395
虎牙-太空混战,http://allinone.netsite.cc/huya/21059579
虎牙-天龙八部,http://allinone.netsite.cc/huya/11602041
虎牙-医馆笑传,http://allinone.netsite.cc/huya/11352891
虎牙-甄嬛传,http://allinone.netsite.cc/huya/11601971
虎牙-中国功夫,http://allinone.netsite.cc/huya/11352941
虎牙-捉妖记,http://allinone.netsite.cc/huya/11342414

YY直播,#genre#
YY电影台-01,http://allinone.netsite.cc/yy/1382749892
YY电影台-02,http://allinone.netsite.cc/yy/1382735573
YY电影台-03,http://allinone.netsite.cc/yy/24921161
YY电影台-04,http://allinone.netsite.cc/yy/1382736803
YY电影台-05,http://allinone.netsite.cc/yy/1354930924
YY电影台-06,http://allinone.netsite.cc/yy/1382745095
YY电影台-07,http://allinone.netsite.cc/yy/1355171357
YY电影台-08,http://allinone.netsite.cc/yy/24066336
YY电影台-09,http://allinone.netsite.cc/yy/1354143966
YY李连杰台,http://allinone.netsite.cc/yy/1459869766
YY成龍影院,http://allinone.netsite.cc/yy/1354888751
YY電影輪播,http://allinone.netsite.cc/yy/1353059120
YY歐美電影,http://allinone.netsite.cc/yy/24923327
YY歐美科幻,http://allinone.netsite.cc/yy/37988782
YY歐美動作,http://allinone.netsite.cc/yy/1382745089
YY連續劇台,http://allinone.netsite.cc/yy/1352227227
YY剧场频道,http://allinone.netsite.cc/yy/1382702247
YY剧场怀旧,http://allinone.netsite.cc/yy/1382627144
菲菲影院,http://allinone.netsite.cc/yy/1456668939
幸福影院,http://allinone.netsite.cc/yy/1382737886
经典鬼片,http://allinone.netsite.cc/yy/29460894
米娜影院,http://allinone.netsite.cc/yy/1382690078
豪哥影院,http://allinone.netsite.cc/yy/23402146
绝版电影,http://allinone.netsite.cc/yy/1454587259
港片电影,http://allinone.netsite.cc/yy/1355479289
泡芙影院,http://allinone.netsite.cc/yy/24407222
数码测评,http://allinone.netsite.cc/yy/11352878
速度与激情,http://allinone.netsite.cc/yy/1382749892
林正英电影,http://allinone.netsite.cc/yy/34229877
林正英鬼片,http://allinone.netsite.cc/yy/1351505899
菲菲影院,http://allinone.netsite.cc/yy/1456668939
幸福影视,http://allinone.netsite.cc/yy/1382737886
豪哥影视,http://allinone.netsite.cc/yy/23402146
封神榜,http://allinone.netsite.cc/yy/1353426319
知否知否,http://allinone.netsite.cc/yy/21881901
正阳门下,http://allinone.netsite.cc/yy/1354931580
雍正王朝,http://allinone.netsite.cc/yy/23206872
天龙八部,http://allinone.netsite.cc/yy/1351814644
下饭神剧,http://allinone.netsite.cc/yy/23512910
武林外传,http://allinone.netsite.cc/yy/1355914397
盜暮笔记,http://allinone.netsite.cc/yy/1382702247
神医喜来乐,http://allinone.netsite.cc/yy/1382714119
鹿鼎记经典,http://allinone.netsite.cc/yy/28265277
地下交通站,http://allinone.netsite.cc/yy/1353428972
宰相刘罗锅,http://allinone.netsite.cc/yy/1382745191
隋唐英雄传,http://allinone.netsite.cc/yy/1352475619
一起来看电影,http://allinone.netsite.cc/yy/1354210357
斗罗斗破,http://allinone.netsite.cc/yy/28796627
重案六组,http://allinone.netsite.cc/yy/33567888
神雕侠侣,http://allinone.netsite.cc/yy/1351762426
电视剧,http://allinone.netsite.cc/yy/29216766
那些年,http://allinone.netsite.cc/yy/1351417866
武侠玄幻,http://allinone.netsite.cc/yy/28099939
康熙微服私访记,http://allinone.netsite.cc/yy/1352811698
港剧悬疑破案,http://allinone.netsite.cc/yy/10425097
高分好看电影,http://allinone.netsite.cc/yy/1353312849
国产玄幻,http://allinone.netsite.cc/yy/1354143978

电影轮播,#genre#
神探狄仁杰,https://epg.112114.xyz/huya/11352958
龙门镖局,https://epg.112114.xyz/huya/11352874
生活大爆炸,https://epg.112114.xyz/huya/11342417
麻雀,https://epg.112114.xyz/huya/11352881
倩女幽魂,https://epg.112114.xyz/huya/11601970
林正英,https://epg.112114.xyz/huya/18441722
小鲤鱼,https://epg.112114.xyz/huya/11601961
RM 刘在石李光洙跑男,https://epg.112114.xyz/huya/11336725
大秦帝国,https://epg.112114.xyz/huya/11602074
笑傲帮,https://epg.112114.xyz/huya/11352908
火影忍者,https://epg.112114.xyz/huya/20236200
军事武器分析,https://epg.112114.xyz/huya/15824466
悬疑推理烧脑破案,https://epg.112114.xyz/huya/17445539
神医喜来乐,https://epg.112114.xyz/huya/11601978
史诗级战zheng电影,https://epg.112114.xyz/huya/21059556
开心快乐就完事了,https://epg.112114.xyz/huya/11342388
勇敢的心,https://epg.112114.xyz/huya/11602037
经典好剧,https://epg.112114.xyz/huya/11602085
隋唐英雄,https://epg.112114.xyz/huya/11352899
美食纪录片,https://epg.112114.xyz/huya/11352955
经典影片,https://epg.112114.xyz/huya/15267139
经典喜剧片,https://epg.112114.xyz/huya/11352894
神hua,https://epg.112114.xyz/huya/11352913
沫漾电影,https://epg.112114.xyz/huya/15556391
骆驼祥子,https://epg.112114.xyz/huya/19450129
电ju惊魂系列,https://epg.112114.xyz/huya/11352903
天雷滚滚,https://epg.112114.xyz/huya/11352945
喜剧专场,https://epg.112114.xyz/huya/11602044
精忠岳飞南征北战,https://epg.112114.xyz/huya/11336578
搞笑僵尸片,https://epg.112114.xyz/huya/11352963
国产青春爱情,https://epg.112114.xyz/huya/11602075
太空混战,https://epg.112114.xyz/huya/21059579
命案十三宗,https://epg.112114.xyz/huya/11601981
最佳搭档,https://epg.112114.xyz/huya/11342397
我是大哥大,https://epg.112114.xyz/huya/23652317
大宅men,https://epg.112114.xyz/huya/11352936
刘德华,http://al.flv.huya.com/src/1394575547-1394575547-5989656366166310912-2789274550-10057-A-0-1.flv?wsSecret=a881c0a0a9a25574ccf1e0243ae557fd&wsTime=62f3b3aa&u=0&seqid=16600520102554650&ctype=tars_mp&txyp=o%3Az16%3B&fs=bgct&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*-265_*&t=102
斗鱼,#genre#
神乐华语 经典 电影 沈腾 周星驰,http://akm-tct.douyucdn.cn/live/85894rmovieChow_900.flv?uuid=
周星驰,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=1654a7dbdd0f43026d74f40fa5b16f9f&token=cpn-androidmpro-0-85894-a3575d938a4aa30948fcdebc46b8acfab96b4eca7d340f4d&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
周星驰华语 成龙 电影 神乐,http://akm-tct.douyucdn.cn/live/122402rK7MO9bXSq_900.flv?uuid=
【开心一刻】宋小宝经典小品,http://akm-tct.douyucdn.cn/live/9817729rxkZJQa6A.flv?uuid=
斗鱼-【RM-轮播】轮播！模式-24H欢乐不断,http://allinone.netsite.cc/douyu/7298973
斗鱼-???计划！五一节の快乐???,http://allinone.netsite.cc/douyu/7528160
斗鱼-海绵与大星直播间,http://allinone.netsite.cc/douyu/2250349
斗鱼-【柯南】外表看似小孩_智慧却过于常人,http://allinone.netsite.cc/douyu/6484910
斗鱼-经典怀旧4,http://allinone.netsite.cc/douyu/9275635
斗鱼-草帽丶海贼团的直播间,http://allinone.netsite.cc/douyu/997925
斗鱼-少女与半妖,http://allinone.netsite.cc/douyu/7422897
斗鱼-【天使点播】动漫直播间,http://allinone.netsite.cc/douyu/1487654
斗鱼-开心锤锤_开心快乐每一天！,http://allinone.netsite.cc/douyu/9018297
斗鱼-【动漫】记录你的王者峡谷生活~,http://allinone.netsite.cc/douyu/9360149
斗鱼-鲁过一世的直播间,http://allinone.netsite.cc/douyu/9716515
斗鱼-铁头与橘子（每周更新一起看霸总）,http://allinone.netsite.cc/douyu/9450942
斗鱼-【神剧】经典神剧,http://allinone.netsite.cc/douyu/3700024
斗鱼-【牛叔】N分钟带你看完大片,http://allinone.netsite.cc/douyu/2758565
斗鱼-最新奇幻电影解说-宇宙无敌韩三金,http://allinone.netsite.cc/douyu/3194372
斗鱼-爱情公寓,http://allinone.netsite.cc/douyu/6863367
斗鱼-瑶瑶,http://allinone.netsite.cc/douyu/2935323
斗鱼-周末电影院,http://allinone.netsite.cc/douyu/3637726
斗鱼-邦德,http://allinone.netsite.cc/douyu/9292499
斗鱼-339影院,http://allinone.netsite.cc/douyu/1274132
斗鱼-刘德华,http://allinone.netsite.cc/douyu/2516864

密码测试_1111,#genre#
H周星驰,http://allinone.netsite.cc/huya/11342412

多线路格式,#genre#
H周星驰,http://allinone.netsite.cc/huya/11342412#http://allinone.netsite.cc/huya/11342412#http://allinone.netsite.cc/huya/11342412#http://allinone.netsite.cc/huya/11342412#http://allinone.netsite.cc/huya/11342412#http://allinone.netsite.cc/huya/11342412


